"H10 London Waterloo, Waterloo, London - save 53%",England,HOTEL,99,53,2018-02-18 00:01:00.000000,2018-02-27 23:59:00.000000,9,488
"Champneys Tring, Wiggington, Hertfordshire - save 51%",England,HOTEL,390,51,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,259
"The College Hotel, Amsterdam, Netherlands - save 38%",Netherlands,HOTEL,115,38,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,229
"Ruby Lissi Hotel Vienna, Vienna, Austria - save 54%",Austria,HOTEL,99,54,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,211
"Bovey Castle, Dartmoor National Park, Devon - save 45%",England,HOTEL,159,45,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,150
"Mercure Shrewsbury Albrighton Hall Hotel & Spa, Shrewsbury, Shropshire - save 34%",England,HOTEL,79,34,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,135
"Grand Hyatt Berlin, Berlin, Germany - save 50%",Germany,HOTEL,179,50,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,132
"De Vere Wotton House, Dorking, Surrey - save 29%",England,HOTEL,149,29,2018-01-29 00:01:00.000000,2018-02-27 23:59:00.000000,29,125
"The Crazy Bear Beaconsfield, Beaconsfield, Buckinghamshire - save 60%",England,HOTEL,295,60,2018-01-22 00:01:00.000000,2018-02-27 23:59:00.000000,36,117
"Arbor City Hotel, Whitechapel, London - save 47%",England,HOTEL,89.1,47,2018-01-28 00:01:00.000000,2018-02-27 23:59:00.000000,30,116
"Arbor Hyde Park, Hyde Park, London - save 63%",England,HOTEL,99,63,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,116
"Le Relais Saint Sulpice, Paris, France - save 48%",France,HOTEL,159,48,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,115
"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",Netherlands,HOTEL,94,47,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,115
"Haymarket by Scandic, Stockholm, Sweden - save 34%",Sweden,HOTEL,1050,34,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,112
"Old Swan & Minster Mill, Minster Lovell, Cotswolds - save 23%",England,HOTEL,169,23,2018-02-11 00:01:00.000000,2018-02-27 23:59:00.000000,16,111
"Eastwell Manor - A Champneys Spa Hotel, Ashford, Kent - save 38%",England,HOTEL,149,38,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,107
"Careys Manor Hotel, Brockenhurst, New Forest - save 33%",England,HOTEL,139,33,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,103
"Grand Hotel Palazzo Livorno, Tuscany, Italy - save 42%",Italy,HOTEL,109,42,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,98
"Dunston Hall, Norwich, Norfolk - save 38%",England,HOTEL,210,38,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,97
"Hôtel Duette, Paris, france - save 64%",France,HOTEL,99,64,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,95
"Stanwell House, Lymington, Hampshire - save 50%",England,HOTEL,89,50,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,89
"Peckforton Castle, Tarporley, Cheshire - save 39%",England,HOTEL,125,39,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,85
"K West Hotel & Spa, Shepherd's Bush, London - save 61%",England,HOTEL,119,61,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,80
"Moddershall Oaks Country Spa Retreat, Moddershall, Staffordshire - save 35%",England,HOTEL,249,35,2018-02-11 00:01:00.000000,2018-02-27 23:59:00.000000,16,79
"Radisson Blu 1835 Hotel & Thalasso, Cannes, France - save 55%",France,HOTEL,139,55,2018-02-04 00:01:00.000000,2018-02-26 23:59:00.000000,22,78
"Hudson New York, Midtown, New York - save 40%",USA,HOTEL,79,40,2018-02-16 00:01:00.000000,2018-02-27 04:59:00.000000,11,78
"The White Swan Inn, Pickering, North Yorkshire - save 52%",England,HOTEL,109,52,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,75
"Lifehouse Spa & Hotel, Thorpe-le-Soken, Essex - save 34%",England,HOTEL,99,34,2018-01-29 00:01:00.000000,2018-02-27 23:59:00.000000,29,74
"Modern Cardiff mystery hotel, Cardiff, Wales - save 59%",Wales/Cymru,HOTEL,95,59,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,72
"Feversham Arms Hotel & Verbena Spa, Helmsley, North Yorkshire - save 38%",England,HOTEL,189,38,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,71
"Rushton Hall, Rushton, Northamptonshire - save 35%",England,HOTEL,125,35,2018-01-29 00:01:00.000000,2018-02-27 23:59:00.000000,29,71
"Hallmark Hotel Hull, Hull, Yorkshire - save 67%",England,HOTEL,59,67,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,70
"Mercure Gloucester Bowden Hall Hotel, Gloucester, Cotswolds - save 62%",England,HOTEL,79,62,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,68
"The Principal Oxford Spires Hotel, Oxford, Oxfordshire - save 47%",England,HOTEL,135,47,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,68
"Makeney Hall Hotel, Milford, Derbyshire - save 40%",England,HOTEL,79,40,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,67
"Paramount Hotel, Times Square, New York - save 40%",USA,HOTEL,75,40,2018-02-18 00:01:00.000000,2018-02-27 04:59:00.000000,9,64
"Hotel Indigo Barcelona, Barcelona, Spain - save 55%",Spain,HOTEL,96.34,55,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,64
