DEPKG/CORE EXP 24h F1 Abu Dhabi Hotel Dusit Thani 240118,,,,2018-11-22,2018-11-27,November ,November ,Thursday ,Tuesday  ,5,Autumn,23
Best Western Plus Grand Winston,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,21
Bilderberg Parkhotel,"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",94,47,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,19
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,18
Citadines City Center Frankfurt,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,16
De Vere Wotton House,"De Vere Wotton House, Dorking, Surrey - save 29%",149,29,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,16
Dunston Hall,"Dunston Hall, Norwich, Norfolk - save 38%",210,38,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,16
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,14
Hallmark Hotel Hull,"Hallmark Hotel Hull, Hull, Yorkshire - save 67%",59,67,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,14
De Vere Wotton House,"De Vere Wotton House, Dorking, Surrey - save 29%",149,29,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,14
Inntel Hotel Art Eindhoven,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,14
Bilderberg Kasteel Vaalsbroek,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,13
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,13
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,13
Panorama Hotel Oberjoch,,,,2018-04-13,2018-04-15,April    ,April    ,Friday   ,Sunday   ,2,Spring,12
Bilderberg Parkhotel,"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",94,47,2018-04-14,2018-04-15,April    ,April    ,Saturday ,Sunday   ,1,Spring,12
Champneys Tring,"Champneys Tring, Wiggington, Hertfordshire - save 51%",390,51,2018-04-08,2018-04-09,April    ,April    ,Sunday   ,Monday   ,1,Spring,12
Lea Marston Hotel & Spa,,,,2018-03-02,2018-03-03,March    ,March    ,Friday   ,Saturday ,1,Winter,12
Lea Marston Hotel & Spa,,,,2018-05-19,2018-05-20,May      ,May      ,Saturday ,Sunday   ,1,Spring,12
Tallink Silja,,,,2018-05-25,2018-05-27,May      ,May      ,Friday   ,Sunday   ,2,Spring,12
Sofitel Frankfurt Opera,,,,2018-03-18,2018-03-19,March    ,March    ,Sunday   ,Monday   ,1,Winter,12
Grand Hotel Amrath Kurhaus The Hague-Scheveningen,,,,2018-04-29,2018-05-01,April    ,May      ,Sunday   ,Tuesday  ,2,Spring,11
Maritim Hotel Kaiserhof Heringsdorf,,,,2018-03-09,2018-03-11,March    ,March    ,Friday   ,Sunday   ,2,Winter,11
Modern Cardiff mystery hotel,"Modern Cardiff mystery hotel, Cardiff, Wales - save 59%",95,59,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,11
Panorama Hotel Oberjoch,,,,2018-04-06,2018-04-08,April    ,April    ,Friday   ,Sunday   ,2,Spring,11
Park Hyatt Hamburg,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,11
Park Hyatt Hamburg,,,,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,11
Bilderberg Parkhotel,"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",94,47,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,11
Dorint An der Messe Köln,,,,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,11
Dorint An der Messe Köln,,,,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,11
Inntel Hotel Art Eindhoven,,,,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,11
Clarion Grand Hotel Helsingborg,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,10
Grand Hotel Amrath Kurhaus The Hague-Scheveningen,,,,2018-02-10,2018-02-12,February ,February ,Saturday ,Monday   ,2,Winter,10
Copenhagen Strand Hotel,,,,2018-04-06,2018-04-08,April    ,April    ,Friday   ,Sunday   ,2,Spring,10
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-28,2018-03-01,February ,March    ,Wednesday,Thursday ,1,Winter,10
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-03-14,2018-03-15,March    ,March    ,Wednesday,Thursday ,1,Winter,10
Haymarket by Scandic,"Haymarket by Scandic, Stockholm, Sweden - save 34%",1050,34,2018-03-16,2018-03-17,March    ,March    ,Friday   ,Saturday ,1,Winter,10
Park Hyatt Hamburg,,,,2018-04-13,2018-04-15,April    ,April    ,Friday   ,Sunday   ,2,Spring,10
DEPKG/CORE EXP 24h F1 Abu Dhabi Hotel Dusit Thani 240118,,,,2018-11-23,2018-11-26,November ,November ,Friday   ,Monday   ,3,Autumn,10
Hotel Nikko Düsseldorf,,,,2018-02-17,2018-02-18,February ,February ,Saturday ,Sunday   ,1,Winter,10
